x,l[x],l[x-1]+1,lx
20,99978, ,1.00E+05
21,99922,99938,99943
22,99864,99880,99884
23,99805,99821,99825
24,99752,99767,99771
25,99691,99705,99709
26,99634,99648,99651
27,99567,99581,99584
28,99503,99516,99519
29,99432,99445,99448
30,99362,99374,99377
31,99286,99298,99301
32,99205,99217,99220
33,99124,99136,99139
34,99045,99056,99059
35,98955,98966,98969
36,98857,98868,98871
37,98748,98759,98763
38,98631,98642,98646
39,98514,98526,98530
40,98396,98408,98412
41,98261,98274,98278
42,98143,98156,98161
43,98000,98015,98020
44,97832,97848,97853
45,97666,97684,97689
46,97483,97503,97509
47,97289,97312,97318
48,97067,97093,97099
49,96844,96874,96880
50,96532,96566,96572
51,96258,96297,96304
52,96022,96067,96074
53,95696,95748,95755
54,95378,95438,95445
55,95014,95083,95091
56,94637,94717,94725
57,94193,94285,94294
58,93731,93837,93847
59,93210,93333,93344
60,92688,92829,92842
61,92088,92249,92265
62,91470,91656,91675
63,90759,90971,90995
64,90020,90262,90292
65,89226,89502,89540
66,88415,88730,88777
67,87574,87931,87991
68,86564,86959,87028
69,85408,85846,85927
70,84191,84675,84768
71,82942,83471,83578
72,81765,82343,82464
73,80335,80962,81098
74,78669,79343,79494
75,76810,77530,77696
76,74961,75727,75909
77,73112,73924,74122
78,70950,71804,72017
79,68238,69125,69351
80,65742,66663,66903
81,62831,63777,64029
82,60090,61060,61323
83,56716,57695,57966
84,53355,54338,54615
85,49353,50323,50600
86,44541,45471,45742
87,39903,40789,41050
88,35613,36451,36702
89,31027,31799,32034
90,26481,27177,27392
91,22467,23090,23286
92,17927,18451,18618
93,13948,14377,14516
94,10759,11107,11221
95,8055,8328,8419
96,5788,5994,6063
97,3704,3842,3889
98,1996,2074,2101
99,915,952,965
100,138,144,146
